hour,load_MW,thermal_MW,hydro_MW,solar_used_MW,wind_used_MW,bess_charge_MW,bess_discharge_MW,bess_soc_MWh,ENS_MWh,curtailment_MWh,renewable_available_MWh,renewable_used_MWh,bess_BESS_Lima_Chilca_charge_MW,bess_BESS_Lima_Chilca_discharge_MW,bess_BESS_Lima_Chilca_soc_MWh,bess_BESS_Tacna_Solar_charge_MW,bess_BESS_Tacna_Solar_discharge_MW,bess_BESS_Tacna_Solar_soc_MWh,bess_BESS_Marcona_Eolico_charge_MW,bess_BESS_Marcona_Eolico_discharge_MW,bess_BESS_Marcona_Eolico_soc_MWh
0,4777.525304157833,1127.4623174635828,2851.529530933335,0.0,752.2241904175974,0.0,46.309265343319744,311.2534049017687,0.0,173.3996331964761,925.6238236140734,752.2241904175974,0.0,0.0,200.0,0.0,46.309265343319744,31.253404901768697,0.0,0.0,80.0
1,4620.499902882815,1113.893583599464,2719.1530307839375,0.0,787.4532884994159,0.0,0.0,311.2534049017687,0.0,270.68329057779886,1058.1365790772147,787.4532884994159,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
2,4348.591205588945,1108.6083432006806,2423.0995884956405,0.0,816.8832738926264,0.0,0.0,311.2534049017687,0.0,332.19117280418345,1149.07444669681,816.8832738926264,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
3,4043.0671163202405,1136.3651963099398,2073.2129317763424,0.0,833.4889882339619,0.0,0.0,311.2534049017687,0.0,347.95101176603816,1181.44,833.4889882339619,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
4,3810.4499922052787,1120.5472903933883,1855.7673749004766,0.0,834.1353269114186,0.0,0.0,311.2534049017687,0.0,314.9391197853913,1149.07444669681,834.1353269114186,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
5,3752.293701181872,1107.4307448860927,1828.9992135931454,0.0,815.8637427026389,0.0,0.0,311.2534049017687,0.0,242.27283637457583,1058.1365790772147,815.8637427026389,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
6,3935.299274049257,1132.2506662684855,2023.5121346587364,0.0,779.5364731220369,0.0,0.0,311.2534049017687,0.0,146.08735049203653,925.6238236140734,779.5364731220369,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
7,4369.9588031210715,1360.9068955028706,2196.894868764137,80.75154207198648,731.405496782081,0.0,0.0,311.2534049017687,0.0,43.91450321791899,856.0715420719864,812.1570388540674,0.0,0.0,200.0,0.0,0.0,31.253404901768697,0.0,0.0,80.0
8,5003.687340126363,1083.3800717418828,3102.395173906833,155.99999999999997,632.2213598209648,0.0,29.690734656680263,280.0,0.0,0.0,788.2213598209648,788.2213598209648,0.0,-0.0,200.0,0.0,29.690734656680263,0.0,0.0,0.0,80.0
9,5730.559556880339,1308.6568326609347,3714.1472924276122,190.8754317918182,516.8800000000001,0.0,0.0,280.0,0.0,29.74188393838466,737.4973157302029,707.7554317918183,0.0,0.0,200.0,0.0,0.0,-0.0,0.0,0.0,80.0
10,6415.338917677003,2331.06805831069,3447.4015970926466,195.75988535640633,441.1093769172636,0.0,0.0,280.0,0.0,74.44004062433854,711.3093028980085,636.86926227367,0.0,0.0,200.0,0.0,0.0,-0.0,0.0,0.0,80.0
11,6925.657445382113,2270.7164228849997,4049.42109292438,199.39992957272835,406.1199999999999,0.0,0.0,280.0,0.0,101.96892822946097,707.4888578021892,605.5199295727282,0.0,0.0,200.0,0.0,0.0,-0.0,0.0,0.0,80.0
12,7164.0,2578.846033457236,3980.557790156838,223.0043906773421,403.4961763859267,21.904390677342104,0.0,300.809171143475,0.0,88.99560932265791,715.4961763859267,626.5005670632688,0.0,0.0,200.0,21.904390677342104,0.0,20.809171143474998,0.0,0.0,80.0
13,7091.16031063961,2470.3197997474913,4001.596647217558,260.58044275177053,418.6634209227852,60.0,0.0,357.809171143475,0.0,40.78841505041879,720.0322787249745,679.2438636745558,0.0,0.0,200.0,60.0,0.0,77.809171143475,0.0,-0.0,80.0
14,6735.065901431112,2236.0,3865.1906231739226,258.0404616922292,435.834816564962,60.0,0.0,414.809171143475,0.0,12.159464288515665,706.0347425457069,693.8752782571912,0.0,0.0,200.0,60.0,0.0,134.809171143475,0.0,0.0,80.0
15,6182.721793562043,1946.8976070177146,3598.683532768362,220.61731573020285,443.0400000000001,26.516661954236838,0.0,440.0,0.0,0.0,663.657315730203,663.657315730203,0.0,0.0,200.0,26.516661954236838,0.0,160.0,0.0,0.0,80.0
16,5557.470720539229,1569.8976070177146,3395.7382969565538,155.99999999999997,435.834816564962,0.0,0.0,440.0,0.0,0.0,591.834816564962,591.834816564962,0.0,0.0,200.0,0.0,0.0,160.0,0.0,0.0,80.0
