hour,load_MW,thermal_MW,hydro_MW,solar_used_MW,wind_used_MW,bess_charge_MW,bess_discharge_MW,bess_soc_MWh,ENS_MWh,curtailment_MWh,renewable_available_MWh,renewable_used_MWh,bess_BESS_Lima_Chilca_charge_MW,bess_BESS_Lima_Chilca_discharge_MW,bess_BESS_Lima_Chilca_soc_MWh,bess_BESS_Tacna_Solar_charge_MW,bess_BESS_Tacna_Solar_discharge_MW,bess_BESS_Tacna_Solar_soc_MWh,bess_BESS_Marcona_Eolico_charge_MW,bess_BESS_Marcona_Eolico_discharge_MW,bess_BESS_Marcona_Eolico_soc_MWh
0,4777.525304157833,1149.4409805712835,2876.35309820566,0.0,751.7312253808905,0.0,0.0,0.0,0.0,173.89259823318298,925.6238236140734,751.7312253808905,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
1,4620.499902882815,1132.5080137305738,2700.5392414813396,0.0,787.4526476709027,0.0,0.0,0.0,0.0,270.683931406312,1058.1365790772147,787.4526476709027,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2,4348.591205588945,1281.4851206145963,2250.3218765775923,0.0,816.7842083967853,0.0,0.0,0.0,0.0,332.2902383000246,1149.07444669681,816.7842083967853,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
3,4043.0671163202405,1121.8259434033916,2087.426080073719,0.0,833.8150928431294,0.0,0.0,0.0,0.0,347.6249071568707,1181.44,833.8150928431294,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
4,3810.4499922052787,1275.4521752858454,1700.6819510886523,0.0,834.3158658307996,0.0,0.0,0.0,0.0,314.75858086601033,1149.07444669681,834.3158658307996,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
5,3752.293701181872,1167.4667503552394,1769.2672011073396,0.0,815.5597497192942,0.0,0.0,0.0,0.0,242.57682935792047,1058.1365790772147,815.5597497192942,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
6,3935.299274049257,1132.2506662684868,2023.512134658732,0.0,779.5364731220367,0.0,0.0,0.0,0.0,146.08735049203676,925.6238236140734,779.5364731220367,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
7,4369.9588031210715,1123.47715681045,2433.9629422798143,80.75154207198648,731.7671619588239,0.0,0.0,0.0,0.0,43.552838041176074,856.0715420719864,812.5187040308103,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
8,5003.687340126363,1078.714295208947,3136.7516850964485,155.99999999999997,632.2213598209648,0.0,0.0,0.0,0.0,0.0,788.2213598209648,788.2213598209648,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
9,5730.559556880339,1631.214295208947,3391.5898298795764,190.87543179181816,516.8800000000001,0.0,0.0,0.0,0.0,29.74188393838469,737.4973157302029,707.7554317918183,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
